genus,prop_endemic,species_number,new_caledonia
Pauridia,1,5,FALSE
Pavetta,1,10,TRUE
Pecteilis,1,15,FALSE
Pedleya,1,1,FALSE
Pembertonia,1,1,FALSE
Pennantia,1,2,FALSE
Pentaceras,1,1,FALSE
Pentalepis,1,6,FALSE
Pentapeltis,1,2,FALSE
Pentapogon,1,1,FALSE
Pentaptilon,1,1,FALSE
Pericalymma,1,4,FALSE
Peripentadenia,1,2,FALSE
Peristeranthus,1,1,FALSE
Peristrophe,1,1,FALSE
Perrottetia,1,1,FALSE
Persoonia,1,101,FALSE
Petalostylis,1,2,FALSE
Petermannia,1,1,FALSE
Petraeomyrtus,1,1,FALSE
Petrophile,1,66,FALSE
Phalaenopsis,1,1,FALSE
Phebalium,1,30,FALSE
Pheladenia,1,1,FALSE
Pherosphaera,1,2,FALSE
Philotheca,1,53,FALSE
Philydrella,1,2,FALSE
Phlebocarya,1,3,FALSE
Phlegmatospermum,1,4,FALSE
Phoringopsis,1,3,FALSE
Phyllangium,1,5,FALSE
Phyllanthera,1,1,FALSE
Phyllocladus,1,1,FALSE
Phyllota,1,11,FALSE
Phymatocarpus,1,3,FALSE
Physopsis,1,5,FALSE
Pilbara,1,1,FALSE
Pileanthus,1,8,FALSE
Pilostyles,1,3,FALSE
Pitaviaster,1,1,FALSE
Pithocarpa,1,4,FALSE
Pityrodia,1,20,FALSE
Placospermum,1,1,FALSE
Plagiobothrys,1,4,FALSE
Plagiocarpus,1,7,FALSE
Planocarpa,1,3,FALSE
Platychorda,1,2,FALSE
Platylobium,1,9,FALSE
Platysace,1,23,FALSE
Platytheca,1,3,FALSE
Platyzoma,1,1,FALSE
Plectorrhiza,1,3,FALSE
Pleioluma,1,7,TRUE
Pleogyne,1,1,FALSE
Pleurocarpaea,1,2,FALSE
Plexaure,1,3,FALSE
Plinthanthesis,1,3,FALSE
Podolobium,1,6,FALSE
Podotheca,1,6,FALSE
Pogonolepis,1,2,FALSE
Polianthion,1,4,FALSE
Polyalthia,1,5,FALSE
Polycalymma,1,1,FALSE
Polyosma,1,6,TRUE
Polypogon,1,1,FALSE
Pomax,1,2,FALSE
Pontederia,1,4,FALSE
