genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge
Plexaure,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,0.9047619047619048,84,TRUE,1,unclear
Plinthanthesis,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,840,FALSE,0,endemic
Podolobium,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,10829,FALSE,0,endemic
Podotheca,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,4081,FALSE,0,endemic
Pogonolepis,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,2556,FALSE,0,endemic
Polianthion,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,160,FALSE,0,endemic
Polyalthia,1,5,FALSE,FALSE,FALSE,TRUE,TRUE,0.6825396825396826,756,TRUE,3,non-endemic
Polycalymma,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,3221,FALSE,0,endemic
Polyosma,1,6,FALSE,TRUE,FALSE,TRUE,TRUE,0.8956043956043956,2548,TRUE,4,non-endemic
Polypogon,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,0.938872970391595,5235,TRUE,5,non-endemic
Pomax,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,16160,FALSE,0,endemic
Pontederia,1,4,FALSE,FALSE,TRUE,TRUE,FALSE,0.6089743589743589,156,TRUE,3,non-endemic
Posidonia,1,8,FALSE,FALSE,FALSE,TRUE,FALSE,0.9336966394187103,2202,TRUE,2,non-endemic
Potamophila,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,65,FALSE,0,endemic
Potentilla,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,0.49162011173184356,2327,TRUE,5,non-endemic
Praecoxanthus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,213,FALSE,0,endemic
Prasophyllum,1,124,TRUE,FALSE,FALSE,TRUE,FALSE,0.9797595566826336,21294,TRUE,3,non-endemic
Prionotes,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,546,FALSE,0,endemic
Prostanthera,1,101,FALSE,FALSE,FALSE,FALSE,FALSE,0.9993833859510655,40544,FALSE,0,endemic
Prumnopitys,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,0.1615326821938392,1331,TRUE,4,non-endemic
Psammagrostis,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,8,FALSE,0,endemic
Psammomoya,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,347,FALSE,0,endemic
Pseudanthus,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,1850,FALSE,0,endemic
Pseudochaetochloa,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,178,FALSE,0,endemic
Pseudopanax,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,0.061813186813186816,2912,TRUE,3,non-endemic
Pseudoweinmannia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,477,FALSE,0,endemic
Pseuduvaria,1,4,FALSE,FALSE,FALSE,TRUE,TRUE,0.7514792899408284,507,TRUE,3,non-endemic
Psychrophila,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.8734525447042641,727,TRUE,1,unclear
Pterochaeta,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,465,FALSE,0,endemic
Pterygopappus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,271,FALSE,0,endemic
Ptilothrix,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,5785,FALSE,0,endemic
Ptychosema,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,15,FALSE,0,endemic
Pullea,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.8508064516129032,248,TRUE,3,non-endemic
Pycnosorus,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,0.9994780793319415,3832,FALSE,0,endemic
Pyrorchis,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,1,4557,FALSE,1,unclear
Quinetia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,730,FALSE,0,endemic
Quinqueremulus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,31,FALSE,0,endemic
Quintinia,1,4,TRUE,TRUE,FALSE,TRUE,TRUE,0.8375286041189931,2622,TRUE,5,non-endemic
Quisqualis,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,0.9259259259259259,81,TRUE,3,non-endemic
Quoya,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,979,FALSE,0,endemic
Radyera,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,0.9897172236503856,389,TRUE,3,non-endemic
Randia,1,3,FALSE,TRUE,TRUE,TRUE,TRUE,0.7245564892623716,1071,TRUE,5,non-endemic
Reedia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,60,FALSE,0,endemic
Regelia,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,635,FALSE,0,endemic
Rhadinothamnus,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,229,FALSE,0,endemic
Rhagodia,1,11,FALSE,FALSE,FALSE,FALSE,FALSE,0.9998610918183081,35995,FALSE,0,endemic
Rhaphidospora,1,3,FALSE,FALSE,TRUE,TRUE,FALSE,0.9727272727272728,110,TRUE,3,non-endemic
Rhaponticum,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,0.9954462659380692,1098,FALSE,2,non-endemic
Rhetinocarpha,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,30,FALSE,0,endemic
Rhinerrhiza,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.9744897959183674,196,TRUE,1,unclear
Rhinerrhizopsis,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,0.8,15,TRUE,2,non-endemic
Rhipidorchis,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.6521739130434783,46,TRUE,1,unclear
Rhizanthella,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,83,FALSE,0,endemic
Rhodanthe,1,45,FALSE,FALSE,FALSE,TRUE,FALSE,0.9998262078554049,28770,FALSE,1,unclear
Rhododendron,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,0.15706806282722513,2865,TRUE,4,non-endemic
Rhodosphaera,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.9983633387888707,611,FALSE,0,endemic
Rhytidosporum,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,5742,FALSE,0,endemic
Richea,1,11,FALSE,FALSE,FALSE,FALSE,FALSE,0.999838865613922,6206,FALSE,0,endemic
Ricinocarpos,1,28,FALSE,FALSE,FALSE,FALSE,FALSE,1,7496,FALSE,0,endemic
Rimacola,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,140,FALSE,0,endemic
Rinzia,1,18,FALSE,FALSE,FALSE,FALSE,FALSE,1,2364,FALSE,0,endemic
Ristantia,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,176,FALSE,0,endemic
Rockinghamia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,268,FALSE,0,endemic
