genus,plant_growth_form,dispersal_appendage,dispersal_syndrome,seed_dry_mass
Achyranthes,tree,floral_parts,zoochory,3.5589066666666667
Acianthus,herb,NA,barochory,0.001
Acmella,herb,NA,NA,NA
Acrachne,tussock,none,anemochory,0.19619999999999999
Acradenia,tree,none,NA,8.2454
Acriopsis,herb,NA,NA,NA
Acronychia,tree,NA,endozoochory,20.212715316816976
Acrostichum,fern herb,NA,NA,NA
Actinostachys,fern herb,NA,NA,NA
Actites,herb,pappus,anemochory,NA
Acunniana,herb,NA,NA,NA
Adenia,climber_woody,NA,NA,NA
Adenochilus,herb,NA,NA,NA
Adenostemma,herb subshrub,NA,NA,0.73848
Adiantum,herb,NA,barochory,4.8525
Adriana,shrub,NA,zoochory,21.9216
Aegiceras,tree,NA,hydrochory,510
Aerva,shrub,NA,anemochory,0.275
Afrohybanthus,shrub subshrub,NA,barochory,1.37817856
Aglaia,tree,fleshy_reward,zoochory,419.71
Agrostis,tussock,none,epizoochory,0.18123293333333335
Polypogon,herb,NA,epizoochory,0.1744
Alchornea,tree,NA,ballistic,15.373999999999999
Aldrovanda,herb,NA,zoochory,NA
Aleurites,tree,NA,zoochory,4259
Alexgeorgea,herb,NA,NA,NA
Alisma,herb,NA,hydrochory,0.45795652173913043
Allopterigeron,herb,NA,NA,3.7496
Alocasia,herb,NA,zoochory,10
Alphitonia,tree,wing_or_plume,zoochory,26.02660714285714
Alstonia,tree,wing_or_plume,barochory,2.94704
Alyxia,tree,none,zoochory,129.32939075555555
Amorphophallus,herb,NA,NA,NA
Amperea,subshrub,NA,zoochory,1.38
Amphibolis,herb,NA,hydrochory,NA
Amphibromus,tussock,bristles,undefined,0.8135
Amphineuron,fern,NA,NA,NA
Amphipogon,tussock,none,epizoochory,0.76016
Amyema,tree,NA,zoochory,22.0528
Amylotheca,shrub,NA,endozoochory,36
Anacolosa,tree,NA,NA,NA
Anarthria,herb,NA,NA,2.4392
Angiopteris,herb,NA,NA,NA
Angophora,tree,NA,zoochory,7.556048513868613
Anisopogon,tussock,NA,epizoochory,40.64966666666667
Anogramma,fern herb,NA,anemochory,NA
Anthocarapa,tree,fleshy_reward,endozoochory,NA
Anthocercis,shrub,NA,zoochory,0.61729
