genus,prop_endemic,species_number,nz,nc,ng,indo,wcvp
Demorchis,1,2,FALSE,FALSE,FALSE,FALSE,FALSE
Dendroconche,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
Denhamia,1,13,FALSE,TRUE,FALSE,TRUE,TRUE
Dennstaedtia,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Desmocladus,1,23,FALSE,FALSE,FALSE,TRUE,FALSE
Desmodiopsis,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
Desmos,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
Diaspasis,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dicarpidium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dichopogon,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Dichosciadium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dichromochlamys,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dicksonia,1,3,TRUE,TRUE,TRUE,TRUE,TRUE
Dicladanthera,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Dicrastylis,1,31,FALSE,FALSE,FALSE,TRUE,FALSE
Didymanthus,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dielitzia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dielsia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dielsiodoxa,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Dienia,1,6,FALSE,FALSE,FALSE,TRUE,TRUE
Dietes,1,1,TRUE,FALSE,TRUE,TRUE,TRUE
Dillwynia,1,29,FALSE,FALSE,FALSE,TRUE,FALSE
Dimocarpus,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Dimorphocoma,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dinghoua,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dinosperma,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Diocirea,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
