genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge,reason,Least Concern,Critically Endangered,Endangered,Near Threatened,Vulnerable,Data Deficient,Lower Risk/near threatened,Lower Risk/conservation dependent,Extinct
Althaea,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,0.0545454545454545,55,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Althenia,0.8571428571428571,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aluta,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,1298,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Alyogyne,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.988307066598882,1967,TRUE,1,non-endemic,taxonomy error,0,0,0,0,0,0,0,0,0
Alysicarpus,0.8333333333333334,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Alyxia,0.7333333333333333,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Amaracarpus,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Amaranthus,0.8181818181818182,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Ammannia,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Ammobium,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,0.997195737521032,1783,FALSE,1,endemic,POWO data error,0,0,0,0,0,0,0,0,0
Amomum,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Amorphophallus,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
