internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
34073,Callitris drummondii,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,drummondii,,,,,(Parl.) F.Muell.,
34074,Callitris monticola,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,monticola,,,,,J.Garden,
34075,Callitris roei,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,roei,,,,,(Endl.) F.Muell.,
34100,Podocarpus smithii,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,smithii,,,,,de Laub.,
34107,Prumnopitys ladei,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Prumnopitys,ladei,,,,,(F.M.Bailey) de Laub.,
34153,Lagarostrobos franklinii,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Lagarostrobos,franklinii,,,,,(Hook.f.) Quinn,
39157,Archidium elatum,PLANTAE,BRYOPHYTA,BRYOPSIDA,ARCHIDIALES,ARCHIDIACEAE,Archidium,elatum,,,,,Dixon &amp; Sainsbury,
41979,Bowenia serrulata,PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES,ZAMIACEAE,Bowenia,serrulata,,,,,(W.Bull) Chamb.,
16437966,Agathis robusta,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis,robusta,,,,,(C.Moore ex F.Muell.) F.Muell.,
42201,Callitris arenaria,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,arenaria,,,,,(C.A.Gardner) J.E.Piggin &amp; J.J.Bruhl,"Recent phylogenetic studies indicate that <em>Actinostrobus</em> should be included with <em>Callitris</em> (Leslie <em>et al</em>. 2012, 2018; Piggin and Bruhl 2010)."
42202,Callitris endlicheri,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,endlicheri,,,,,(Parl.) F.M.Bailey,
42203,Callitris macleayana,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,macleayana,,,,,(F.Muell.) F.Muell.,<em>Callitris macleayana</em> is the only <em>Callitris</em> species restricted to rainforests. It also differs from other <em>Callitris</em> species in some morphological characters of its leaves and cones to the extent that it has previously classified as a monotypic genus (<em>Octoclinis</em>). Recent phylogenies identify this species as sister to all other species in the genus (Piggin and Bruhl 2010).
42204,Callitris muelleri,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,muelleri,,,,,(Parl.) Benth. &amp; Hook.f.ex F.Muell.,
42205,Callitris canescens,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,canescens,,,,,(Parl.) S.T.Blake,
42206,Callitris columellaris,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,columellaris,,,,,F.Muell.,
42207,Callitris preissii,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,preissii,,,,,Miq.,
42208,Callitris rhomboidea,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,rhomboidea,,,,,R.Br. ex Rich. &amp; A.Rich.,
42209,Callitris verrucosa,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Callitris,verrucosa,,,,,(A.Cunn. ex Endl.) F.Muell.,
42225,Diselma archeri,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CUPRESSACEAE,Diselma,archeri,,,,,Hook.f.,
42266,Phyllocladus aspleniifolius,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Phyllocladus,aspleniifolius,,,,,(Labill.) Hook.f.,
42500,Podocarpus elatus,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,elatus,,,,,R.Br. ex Endl.,
42506,Podocarpus grayae,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,grayae,,,,,de Laub.,
42511,Podocarpus lawrencei,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,lawrencei,,,,,Hook.f.,
42531,Podocarpus spinulosus,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,spinulosus,,,,,(Sm.) R.Br.ex Mirb.,
42544,Sundacarpus amarus,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Sundacarpus,amarus,,,,,(Blume) C.N.Page,
44049,Pherosphaera hookeriana,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Pherosphaera,hookeriana,,,,,W.Archer,
163984,Juncus articulatus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,JUNCACEAE,Juncus,articulatus,,,,,L.,"<span style=""font-style: italic;"">J. articulatus </span>is known to  hybridise with <span style=""font-style: italic;"">J. acutiflorus </span>(<span style=""font-style: italic;"">J</span>. ×<span style=""font-style: italic;"">surrejanus </span>  Druce ex Stace & Lambinon), it is not clear to what extent the hybrid may have replaced <span style=""font-style: italic;"">J. articulatus</span> throughout much of the United Kingdom."
168620,Marsilea crenata,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,SALVINIALES,MARSILEACEAE,Marsilea,crenata,,,,,C.Presl,
168629,Typha orientalis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,TYPHACEAE,Typha,orientalis,,,,,C.Presl.,
168753,Sesbania javanica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Sesbania,javanica,,,,,Miq.,
168809,Drosera peltata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,DROSERACEAE,Drosera,peltata,,,,,Thunb.,
