Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Iridaceae,Dietes,bicolor,(Steud.) Sweet ex Klatt,,,,,,,Inclusive,,Indigenous; Endemic
Acanthaceae,Metarungia,pubinervia,(T.Anderson) Baden,,,,,,,Accepted,,Indigenous
Campanulaceae,Lightfootia,diffusa,H.Buek,var.,stokoei,Adamson,,,,Synonym,Wahlenbergia tenella (L.f.) Lammers var. stokoei (Adamson) Welman,Indigenous; Endemic
Euphorbiaceae,Euphorbia,esculenta,Marloth,,,,,,,Accepted,,Indigenous; Endemic
Solanaceae,Nicandra,sp.,,,,,,,,Genus level,,
Campanulaceae,Wahlenbergia,rotundifolia,Brehmer,,,,,,,Synonym,Wahlenbergia brehmeri Lammers,Indigenous
Colchicaceae,Colchicum,hughocymbion,(U.Mull.-Doblies & D.Mull.-Doblies) J.C.Manning & Vinn.,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,minima,(Aiton) Haw.,var.,major,Poelln.,,,,Synonym,Haworthia arachnoidea (L.) Duval var. setata (Haw.) M.B.Bayer,Indigenous
Asparagaceae,Asparagus,rigidus,Jessop,,,,,,,Accepted,,Indigenous; Endemic
Solanaceae,Nierembergia,hippomanica,Miers,var.,violacea,Millan,,,,Synonym,Nierembergia linariifolia Graham,Not indigenous; Naturalised
Fabaceae,Dolichos,junodii,(Harms) Verdc.,,,,,,,Synonym,Nesphostylis junodii (Harms) Munyeny. & F.A.Bisby,Indigenous
Asphodelaceae,Haworthia,bullulata,(Jacq.) Parr,,,,,,,Synonym,Astroloba bullulata (Jacq.) Uitewaal,Present
Asteraceae,Chrysanthemum,sp.,,,,,,,,Genus level,,
Cyperaceae,Cyperus,prolifer,Lam.,,,,,,,Accepted,,Indigenous
Poaceae,Bromus,leptoclados,Nees,,,,,,,Accepted,,Indigenous
Cyperaceae,Ficinia,arenicola,T.H.Arnold & Gordon-Gray,var.,arenicola,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,latisepalum,(L.Bolus) L.Bolus,,,,,,,Synonym,Mesembryanthemum guerichianum Pax,Indigenous
Acanthaceae,Petalidium,aromaticum,Oberm.,var.,canescens,Oberm.,,,,Accepted,,Indigenous
Aizoaceae,Lampranthus,scaber,(L.) N.E.Br.,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Vachellia,borleae,(Burtt Davy) Kyal. & Boatwr.,,,,,,,Accepted,,Indigenous
Iridaceae,Thereianthus,longicollis,(Schltr.) G.J.Lewis,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,vlokii,Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Polygalaceae,Polygala,leptophylla,Burch.,,,,,,,Inclusive,,Indigenous
Apiaceae,Centella,callioda,(Cham. & Schltdl.) Drude,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Euryops,bolusii,B.Nord.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Euryops,integrifolius,B.Nord.,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Gladiolus,hirsutus,Jacq.,,,,,,,Accepted,,Indigenous; Endemic
Solanaceae,Solanum,torreanum,A.E.Gonç.,,,,,,,Accepted,,Indigenous
Amaranthaceae,Chenopodium,opulifolium,Schrad. ex W.D.J.Koch & Ziz,var.,opulifolium,,,,,Accepted,,Not indigenous; Naturalised
Aizoaceae,Echinus,edentulus,(Haw.) N.E.Br.,,,,,,,Synonym,Ruschia edentula (Haw.) L.Bolus,Indigenous
Fabaceae,Argyrolobium,humile,E.Phillips,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,monticola,Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Argyrolobium,molle,Eckl. & Zeyh.,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Vicia,sativa,L.,subsp.,sativa,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Apiaceae,Dasispermum,humile,(Meisn.) Magee & B.-E.van Wyk,,,,,,,Accepted,,Indigenous; Endemic
Geraniaceae,Monsonia,lanuginosa,R.Knuth,,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Rapuntium,coronopifolium,(L.) C.Presl,,,,,,,Synonym,Lobelia coronopifolia L.,Indigenous
Poaceae,Panicum,laticomum,Nees,,,,,,,Accepted,,Indigenous
Penaeaceae,Brachysiphon,sp.,,,,,,,,Genus level,,
Ruscaceae,Eriospermum,graminifolium,A.V.Duthie,,,,,,,Accepted,,Indigenous; Endemic
Campanulaceae,Lightfootia,diffusa,H.Buek,,,,,,,Synonym,Wahlenbergia tenella (L.f.) Lammers,Indigenous
