Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Poaceae,Pentameris,viscidula,(Nees) Steud.,,,,,,,Accepted,,Indigenous
Rubiaceae,Psydrax,sp.,,,,,,,,Genus level,,
Amaryllidaceae,Haemanthus,pubescens,L.f.,subsp.,arenicola,Snijman,,,,Accepted,,Indigenous
Asphodelaceae,Haworthia,tessellata,Haw.,var.,coriacea,Resende & Poelln.,forma,brevior,Resende & Poelln.,Synonym,Haworthiopsis tessellata (Haw.) G.D.Rowley var. tessellata,Indigenous
Cyperaceae,Ficinia,ixioides,Nees,,,,,,,Inclusive,,Indigenous
Asteraceae,Plecostachys,polifolia,(Thunb.) Hilliard & B.L.Burtt,,,,,,,Accepted,,Indigenous
Geraniaceae,Monsonia,transvaalensis,R.Knuth,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,reconditum,A.R.Mitch.,subsp.,buysianum,(A.R.Mitch. & S.A.Hammer) S.A.Hammer,,,,Accepted,,Indigenous; Endemic
Ranunculaceae,Anemone,anemonoides,(H.Rasm.) J.C.Manning & Goldblatt,subsp.,tenuis,(H.Rasm.) J.C.Manning & Goldblatt,,,,Accepted,,Indigenous; Endemic
Solanaceae,Solanum,aranoideum,Dammer,,,,,,,Synonym,Solanum supinum Dunal,Indigenous
Juncaceae,Juncus,kraussii,Hochst.,,,,,,,Inclusive,,Indigenous
Santalaceae,Colpoon,speciosum,(A.W.Hill) P.A.Bean,,,,,,,Accepted,,Indigenous
Aizoaceae,Drosanthemum,mathewsii,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Proteaceae,Serruria,plumosa,Meisn.,,,,,,,Synonym,Serruria nivenii R.Br.,Indigenous
Hyacinthaceae,Drimia,alta,R.A.Dyer,,,,,,,Synonym,Drimia elata Jacq. ex Willd.,Indigenous
Iridaceae,Ixia,filiformis,Vent.,,,,,,,Synonym,Ixia patens Aiton,Indigenous
Aizoaceae,Dorotheanthus,clavatus,(Haw.) Struck,,,,,,,Synonym,Cleretum clavatum (Haw.) Klak,Indigenous; Endemic
Convolvulaceae,Ipomoea,gracilisepala,Rendle,,,,,,,Accepted,,Indigenous
Gesneriaceae,Streptocarpus,cyaneus,S.Moore,,,,,,,Inclusive,,Indigenous
Hyacinthaceae,Ledebouria,venteri,Van Jaarsv. & A.E.van Wyk,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Podalyria,calyptrata,(Retz.) Willd.,var.,styracifolia,(Sims) Walp.,,,,Synonym,Podalyria calyptrata (Retz.) Willd.,Indigenous
Poaceae,Danthoniopsis,scopulorum,(J.B.Phipps) J.B.Phipps,,,,,,,Accepted,,Indigenous; Endemic
Acanthaceae,Acanthopsis,tetragona,H.M.Steyn,subsp.,tetragona,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Arctotis,laciniata,Lam.,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Rhinephyllum,muirii,N.E.Br.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Relhania,squarrosa,(L.) L'Her.,var.,brevifolia,Harv.,,,,Synonym,Oedera squarrosa (L.) Anderb. & K.Bremer,Indigenous
Cyperaceae,Cyperus,elephantinus,(C.B.Clarke) Kuk.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Eumorphia,sericea,J.M.Wood & M.S.Evans,,,,,,,Inclusive,,Indigenous
Asteraceae,Osteospermum,hispidum,Harv.,var.,viride,Norl.,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Gemmaria,karooica,(W.F.Barker) D.Mull.-Doblies & U.Mull.-Doblies,,,,,,,Synonym,Strumaria karooica (W.F.Barker) Snijman,Indigenous
Amaryllidaceae,Haemanthus,albiflos,Jacq.,,,,,,,Accepted,,Indigenous; Endemic
Araliaceae,Heptapleurum,actinophyllum,(Endl.) Lowry & G.M.Plunkett,,,,,,,Accepted,,Not indigenous; Cultivated; Naturalised
Polygalaceae,Polygala,pappeana,Eckl. & Zeyh.,,,,,,,Accepted,,Indigenous; Endemic
Lauraceae,Persea,americana,Mill.,,,,,,,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Rubiaceae,Rubia,horrida,(Thunb.) Puff,,,,,,,Accepted,,Indigenous
Asteraceae,Kleinia,articulata,(L.f.) Haw.,,,,,,,Synonym,Curio articulatus (L.f.) P.V.Heath,Indigenous
Asparagaceae,Protasparagus,capensis,(L.) Oberm.,var.,litoralis,Suess. & Karl,,,,Synonym,Asparagus capensis L. var. litoralis Suess. & Karl,Present
Iridaceae,Ixia,flaccida,Salisb.,,,,,,,Synonym,Ixia patens Aiton,Indigenous
Asteraceae,Othonna,cakilefolia,DC.,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Clitoria,ternatea,L.,,,,,,,Inclusive,,Cryptogenic
Orchidaceae,Pterygodium,connivens,Schelpe,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Cephalophyllum,roseum,(L.Bolus) L.Bolus,,,,,,,Synonym,Leipoldtia rosea L.Bolus,Present
Aizoaceae,Cephalophyllum,cupreum,L.Bolus,,,,,,,Synonym,Jordaaniella cuprea (L.Bolus) H.E.K.Hartmann,Indigenous
Orchidaceae,Stenoglottis,fimbriata,Lindl.,subsp.,saxicola,(Schltr. ex Kraenzl.) G.McDonald,,,,Synonym,Stenoglottis fimbriata Lindl. var. fimbriata,Indigenous
Apocynaceae,Stapeliopsis,cooperi,(N.E.Br.) E.Phillips,,,,,,,Synonym,Orbea cooperi (N.E.Br.) L.C.Leach,Present
Rutaceae,Adenandra,gracilis,Eckl. & Zeyh.,,,,,,,Accepted,,Indigenous; Endemic
Hyacinthaceae,Lachenalia,unicolor,Jacq.,var.,fragrans,(Jacq.) Baker,,,,Synonym,Lachenalia pallida Aiton,Indigenous
Cucurbitaceae,Melothria,breyeri,Burtt Davy,,,,,,,Synonym,Cucumis cinereus (Cogn.) Ghebret. & Thulin,Indigenous
Iridaceae,Geissorhiza,erosa,(Salisb.) R.C.Foster,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Nidorella,sp.,,,,,,,,Genus level,,
Aizoaceae,Tetragonia,robusta,Fenzl,var.,psiloptera,(Fenzl) Adamson,,,,Synonym,Tetragonia robusta Fenzl,Indigenous
Rubiaceae,Empogona,africana,(Sim) Tosh & Robbr.,,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Dortmanna,pinifolia,(L.) Kuntze,,,,,,,Synonym,Lobelia pinifolia L.,Indigenous
Poaceae,Arthraxon,lanceolatus,(Roxb.) Hochst.,,,,,,,Inclusive,,Indigenous
Hyacinthaceae,Lachenalia,namaquensis,Schltr. ex W.F.Barker,,,,,,,Accepted,,Indigenous; Endemic
Juncaceae,Juncus,tenuis,Willd.,,,,,,,Accepted,,Not indigenous; Naturalised
Anacampserotaceae,Anacampseros,subnuda,Poelln.,subsp.,lubbersii,(Bleck) Gerbaulet,,,,Accepted,,Indigenous; Endemic
Pontederiaceae,Pontederia,ovalis,Mart. ex Schult. & Schult.f.,,,,,,,Accepted,,Not indigenous; Naturalised
Dipsacaceae,Cephalaria,zeyheriana,Szabo,,,,,,,Accepted,,Indigenous
Iridaceae,Ixia,exiliflora,Goldblatt & J.C.Manning,,,,,,,Accepted,,Indigenous; Endemic
Poaceae,Pentaschistis,pallida,(Thunb.) H.P.Linder,,,,,,,Synonym,Pentameris pallida (Thunb.) Galley & H.P.Linder,Indigenous; Endemic
Amaranthaceae,Aerva,leucura,Moq.,,,,,,,Accepted,,Indigenous
Asteraceae,Eumorphia,sp.,,,,,,,,Genus level,,
Iridaceae,Gladiolus,varius,F.Bolus,var.,micranthus,(Baker) Oberm.,,,,Synonym,Gladiolus ferrugineus Goldblatt & J.C.Manning,Present
Amaranthaceae,Chenopodium,schraderianum,Roem. & Schult.,,,,,,,Synonym,Dysphania schraderiana (Schult.) Mosyakin & Clemants,Not indigenous; Naturalised
Aizoaceae,Mesembryanthemum,salmoneum,Haw.,,,,,,,Synonym,Mesembryanthemum canaliculatum Haw.,Indigenous
Asteraceae,Othonna,pavonia,E.Mey.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,triodontiphyllus,C.Jeffrey,,,,,,,Accepted,,Indigenous; Endemic
Rhamnaceae,Phyllogeiton,zeyheri,(Sond.) Suess.,,,,,,,Accepted,,Indigenous
Fabaceae,Psoralea,imminens,C.H.Stirt.,,,,,,,Accepted,,Indigenous; Endemic
Poaceae,Schizachyrium,exile,(Hochst.) Pilg.,,,,,,,Accepted,,Indigenous
Hyacinthaceae,Ledebouria,megaphylla,(Hankey ex J.M.H.Shaw) Van Jaarsv. & Eggli,,,,,,,Accepted,,Indigenous
Asteraceae,Euryops,linifolius,(L.) DC.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,villifructus,Hilliard,,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Lobelia,simsii,Sweet,,,,,,,Synonym,Lobelia coronopifolia L.,Indigenous
Aizoaceae,Antimima,bina,(L.Bolus) H.E.K.Hartmann,,,,,,,Synonym,Antimima viatorum (L.Bolus) Klak,Indigenous
Crassulaceae,Crassula,multicava,Lem.,,,,,,,Inclusive,,Indigenous
Proteaceae,Spatalla,gracilis,Salisb. ex Knight,,,,,,,Synonym,Spatalla racemosa (L.) Druce,Indigenous
Ericaceae,Erica,articularis,L.,,,,,,,Inclusive,,Indigenous
Rubiaceae,Carpacoce,spermacocea,(Rchb. ex Spreng.) Sond.,subsp.,spermacocea,,,,,Accepted,,Indigenous; Endemic
Hyacinthaceae,Thuranthos,nocturnale,R.A.Dyer,,,,,,,Synonym,Drimia macrantha (Baker) Baker,Indigenous
Rhamnaceae,Phylica,brevifolia,Eckl. & Zeyh.,,,,,,,Accepted,,Indigenous; Endemic
Anacardiaceae,Ozoroa,sphaerocarpa,R.Fern. & A.Fern.,,,,,,,Accepted,,Indigenous
Asphodelaceae,Haworthia,gigas,Poelln.,,,,,,,Synonym,Haworthia arachnoidea (L.) Duval var. setata (Haw.) M.B.Bayer,Indigenous
Euphorbiaceae,Chamaesyce,mossambicensis,(Klotzsch & Garcke) Koutnik,,,,,,,Synonym,Euphorbia mossambicensis (Klotzsch & Garcke) Boiss.,Indigenous
Apiaceae,Peucedanum,kamiesbergense,B.L.Burtt,,,,,,,Synonym,Notobubon capense (Eckl. & Zeyh.) Magee,Indigenous; Endemic
Aizoaceae,Conophytum,tumidum,N.E.Br.,,,,,,,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. bilobum   var. bilobum,Present
Fabaceae,Pterocarpus,rotundifolius,(Sond.) Druce,,,,,,,Inclusive,,Indigenous
Celastraceae,Gymnosporia,harveyana,Loes.,subsp.,harveyana,,,,,Accepted,,Indigenous
Iridaceae,Klattia,flava,(G.J.Lewis) Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Euryops,namibensis,(Merxm.) B.Nord.,,,,,,,Accepted,,Indigenous
Aizoaceae,Mesembryanthemum,digitatum,Aiton,,,,,,,Inclusive,,Indigenous; Endemic
Iridaceae,Geissorhiza,ornithogaloides,Klatt,,,,,,,Inclusive,,Indigenous; Endemic
Aizoaceae,Conophytum,obcordellum,(Haw.) N.E.Br.,var.,mundum,(N.E.Br.) Rawe,forma,ursprungianum,(Tischer) Rawe,Synonym,Conophytum obcordellum (Haw.) N.E.Br. subsp. obcordellum   var. obcordellum,Present
Scrophulariaceae,Walafrida,merxmuelleri,Roessler,,,,,,,Synonym,Selago divaricata L.f.,Indigenous; Endemic
Cyperaceae,Cyperus,polystachyos,Rottb.,,,,,,,Synonym,Pycreus polystachyos (Rottb.) P.Beauv. var. polystachyos,Indigenous
Poaceae,Hyparrhenia,variabilis,Stapf,,,,,,,Accepted,,Indigenous
Fabaceae,Aeschynomene,uniflora,E.Mey.,,,,,,,Inclusive,,Indigenous
Amaranthaceae,Chenopodium,chenopodioides,(L.) Aellen,,,,,,,Synonym,"Oxybasis chenopodioides (L.) S.Fuentes, Uotila & Borsch",
Crassulaceae,Crassula,capensis,(L.) Baill.,var.,capensis,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,coruscans,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Relhania,foveolata,K.Bremer,,,,,,,Synonym,Oedera foveolata (K.Bremer) Anderb. & K.Bremer,Indigenous
Asteraceae,Arctotis,stoechadifolia,P.J.Bergius,var.,grandis,(Thunb.) Less.,,,,Synonym,Arctotis stoechadifolia P.J.Bergius,Indigenous
Apocynaceae,Stapelia,acuminata,Masson,,,,,,,Accepted,,Indigenous; Endemic
Proteaceae,Protea,intonsa,Rourke,,,,,,,Accepted,,Indigenous; Endemic
Acanthaceae,Blepharis,maderaspatensis,(L.) B.Heyne ex Roth,subsp.,rubiifolia,(Schumach.) Napper,,,,Synonym,Blepharis maderaspatensis (L.) B.Heyne ex Roth,Indigenous
Cyperaceae,Cyperus,laevigatus,L.,,,,,,,Inclusive,,Indigenous
Polypodiaceae,Melpomene,sp.,,,,,,,,Genus level,,
Iridaceae,Babiana,falcata,G.J.Lewis,,,,,,,Synonym,Babiana hypogaea Burch.,Indigenous
Aizoaceae,Ebracteola,fulleri,(L.Bolus) Glen,,,,,,,Accepted,,Indigenous
Fabaceae,Lotononis,calycina,(E.Mey.) Benth.,,,,,,,Synonym,Leobordea divaricata Eckl. & Zeyh.,Indigenous
Euphorbiaceae,Euphorbia,pomiformis,Thunb.,,,,,,,Synonym,Euphorbia meloformis Aiton,Indigenous
Isoetaceae,Isoetes,welwitschii,A.Braun,,,,,,,Accepted,,Indigenous
Peraceae,Clutia,alaternoides,L.,var.,brevifolia,E.Mey. ex Sond.,,,,Accepted,,Indigenous; Endemic
Peraceae,Clutia,thunbergii,Sond.,,,,,,,Accepted,,Indigenous
Pinaceae,Pinus,elliottii,Engelm.,,,,,,,Inclusive,,Not indigenous; Naturalised; Invasive
Poaceae,Hyparrhenia,rudis,Stapf,,,,,,,Accepted,,Indigenous
Rubiaceae,Vangueria,dryadum,S.Moore,,,,,,,Accepted,,Indigenous
Hyacinthaceae,Ornithogalum,falcatum,(G.J.Lewis) J.C.Manning & Goldblatt,,,,,,,Accepted,,Indigenous
Geraniaceae,Pelargonium,occultum,Liekkio & R.T.F.Clifton,,,,,,,Accepted,,Indigenous; Endemic
Poaceae,Digitaria,ciliaris,(Retz.) Koeler,,,,,,,Accepted,,Not indigenous; Naturalised
Lamiaceae,Stachys,dregeana,Benth.,,,,,,,Accepted,,Indigenous
Apocynaceae,Brachystelma,waterbergense,Peckover,,,,,,,Synonym,Ceropegia waterbergensis (Peckover) Bruyns,Indigenous; Endemic
Aizoaceae,Conophytum,bruynsii,S.A.Hammer,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Bolusia,acuminata,(DC.) Polhill,,,,,,,Accepted,,Indigenous
Iridaceae,Gladiolus,hyalinus,Jacq.,,,,,,,Accepted,,Indigenous; Endemic
Oxalidaceae,Oxalis,monophylla,L.,var.,stenophylla,(Meisn.) Sond.,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Periphanes,crispa,(Jacq.) Salisb.,,,,,,,Synonym,Hessea cinnamomea (L'Her.) T.Durand & Schinz,Indigenous
Anacardiaceae,Searsia,nebulosa,(Schonland) Moffett,forma,nebulosa,,,,,Accepted,,Indigenous; Endemic
Ranunculaceae,Knowltonia,canescens,Szyszyl.,var.,pottiana,Burtt Davy,,,,Synonym,Anemone transvaalensis (Szyszyl.) Burtt Davy var. pottiana (Burtt Davy) J.C.Manning & Goldblatt,Indigenous
Iridaceae,Romulea,biflora,(Beg.) M.P.de Vos,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Tenaris,chlorantha,Schltr.,,,,,,,Synonym,Ceropegia chlorantha (Schltr.) Bruyns,Indigenous
Cyperaceae,Kyllinga,sp.,,,,,,,,Genus level,,
Asteraceae,Arctotis,pinnatifida,Thunb.,,,,,,,Accepted,,Indigenous; Endemic
Thymelaeaceae,Lachnaea,pusilla,Beyers,,,,,,,Accepted,,Indigenous; Endemic
Poaceae,Diheteropogon,filifolius,(Nees) Clayton,,,,,,,Accepted,,Indigenous
Isoetaceae,Isoetes,capensis,A.V.Duthie,var.,stephanseniae,(A.V.Duthie) Schelpe & N.C.Anthony,,,,Synonym,Isoetes stephanseniae A.V.Duthie,Indigenous
Geraniaceae,Pelargonium,caucalifolium,Jacq.,subsp.,convolvulifolium,(Schltr. ex R.Knuth) J.J.A.van der Walt,,,,Accepted,,Indigenous; Endemic
Colchicaceae,Wurmbea,punctata,(L.) J.C.Manning & Vinn.,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,aristata,(D.Delaroche) Asch. & Graebn.,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,strigilifolia,Salisb.,var.,strigilifolia,,,,,Accepted,,Indigenous; Endemic
Brassicaceae,Heliophila,latisiliqua,E.Mey. ex Sond.,var.,macrostylis,(E.Mey. ex Sond.) Marais,,,,Synonym,Heliophila thunbergii (Eckl. & Zeyh.) Steud. var. macrostylis (E.Mey. ex Sond.) B.Nord.,Indigenous
Aizoaceae,Delosperma,acuminatum,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschia,brevipes,L.Bolus,var.,gracilis,L.Bolus,,,,Synonym,Ruschia brevipes L.Bolus,Indigenous
Fabaceae,Indigofera,amoena,Aiton,,,,,,,Accepted,,Indigenous; Endemic
Hydrocharitaceae,Lagarosiphon,tsotsorogensis,Bremek. & Oberm.,,,,,,,Synonym,Lagarosiphon cordofanus Casp.,
Fabaceae,Stirtonanthus,chrysanthus,(Adamson) B.-E.van Wyk & A.L.Schutte,,,,,,,Accepted,,Indigenous; Endemic
Menyanthaceae,Villarsia,manningiana,Ornduff,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Rabiea,difformis,(L.Bolus) L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Annonaceae,Hexalobus,monopetalus,(A.Rich.) Engl. & Diels,,,,,,,Inclusive,,Indigenous
Pteridaceae,Cheilanthes,hirta,Sw.,var.,brevipilosa,W.Jacobsen & N.H.G.Jacobsen,forma,brevipilosa,,Accepted,,Indigenous
Fabaceae,Acacia,permixta,Burtt Davy,,,,,,,Synonym,Vachellia permixta (Burtt Davy) Kyal. & Boatwr.,Indigenous
Asteraceae,Euryops,galpinii,Bolus,,,,,,,Accepted,,Indigenous; Endemic
Pottiaceae,Bryoerythrophyllum,sp.,,,,,,,,Genus level,,
Asteraceae,Euryops,petraeus,B.Nord.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Cineraria,britteniae,Hutch. & R.A.Dyer,,,,,,,Synonym,Cineraria erodioides DC. var. erodioides,Indigenous; Endemic
Aizoaceae,Scopelogena,bruynsii,Klak,,,,,,,Accepted,,Indigenous; Endemic
Rubiaceae,Galium,undulatum,Puff,,,,,,,Accepted,,Indigenous; Endemic
Violaceae,Hybanthus,enneaspermus,(L.) F.Muell.,,,,,,,Synonym,Afrohybanthus enneaspermus (L.) Flicker,Indigenous
Oxalidaceae,Oxalis,leipoldtii,Schltr.,,,,,,,Accepted,,Indigenous; Endemic
Loranthaceae,Agelanthus,transvaalensis,(Sprague) Polhill & Wiens,,,,,,,Accepted,,Indigenous
Santalaceae,Viscum,triflorum,DC.,,,,,,,Accepted,,Indigenous
Lentibulariaceae,Utricularia,stellaris,L.f.,,,,,,,Accepted,,Indigenous
Fabaceae,Schotia,afra,(L.) Thunb.,var.,afra,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Acrosanthes,parviflora,J.C.Manning & Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Hippia,bolusae,Hutch.,,,,,,,Accepted,,Indigenous; Endemic
Fissidentaceae,Fissidens,borgenii,Hampe,,,,,,,Accepted,,Indigenous
Asphodelaceae,Trachyandra,eriocarpa,Boatwr. & J.C.Manning,,,,,,,Accepted,,Indigenous; Endemic
Brachytheciaceae,Rhynchostegiella,holstii,(Broth.) Broth.,,,,,,,Accepted,,Indigenous
Zygophyllaceae,Roepera,incrustata,(Sond.) Beier & Thulin,,,,,,,Accepted,,Indigenous
Aizoaceae,Stomatium,duthiae,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Periglossum,kassnerianum,Schltr.,,,,,,,Synonym,Periglossum mackenii Harv.,Indigenous
Asteraceae,Senecio,pellucidus,DC.,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,curvirostris,Salisb.,,,,,,,Inclusive,,Indigenous
Aizoaceae,Delosperma,sulcatum,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Malvaceae,Hermannia,suavis,C.Presl ex Harv.,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Grisebachia,ciliaris,(L.f.) Klotzsch,subsp.,involuta,(Klotzsch) E.G.H.Oliv.,,,,Synonym,Erica plumosa Thunb.,Indigenous
Hyacinthaceae,Pseudoprospero,firmifolium,(Baker) Speta,,,,,,,Inclusive,,Indigenous; Endemic
Loranthaceae,Tapinanthus,kraussianus,(Meisn.) Tiegh.,,,,,,,Synonym,Agelanthus kraussianus (Meisn.) Polhill & Wiens,Indigenous
Marchantiaceae,Marchantia,polymorpha,L.,,,,,,,Inclusive,,Not indigenous; Naturalised
Restionaceae,Restio,helenae,Mast.,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Woodia,mucronata,(Thunb.) N.E.Br.,var.,trifurcata,(Schltr.) N.E.Br.,,,,Synonym,Woodia mucronata (Thunb.) N.E.Br.,Indigenous
Rubiaceae,Gardenia,resiniflua,Hiern,subsp.,resiniflua,,,,,Accepted,,Indigenous
Amaryllidaceae,Brunsvigia,banksiana,(Lindl.) T.Durand & Schinz,,,,,,,Synonym,Brunsvigia grandiflora Lindl.,Indigenous
Ericaceae,Erica,salteri,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Orbea,carnosa,(Stent) Bruyns,subsp.,keithii,(R.A.Dyer) Bruyns,,,,Accepted,,Indigenous
Asteraceae,Cineraria,erodioides,DC.,,,,,,,Inclusive,,Indigenous
Asphodelaceae,Kniphofia,crassifolia,Baker,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Tephrosia,glomeruliflora,Meisn.,subsp.,meisneri,(Hutch. & Burtt Davy) Schrire,,,,Accepted,,Indigenous
Fabaceae,Argyrolobium,involucratum,(Thunb.) Harv.,,,,,,,Synonym,Polhillia involucrata (Thunb.) B.-E.van Wyk & A.L.Schutte,Indigenous
Hyacinthaceae,Ornithogalum,muirii,F.M.Leight.,,,,,,,Synonym,Albuca albucoides (Aiton) J.C.Manning & Goldblatt,Indigenous
Fabaceae,Aspalathus,joubertiana,Eckl. & Zeyh.,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Asclepias,macropus,(Schltr.) Schltr.,,,,,,,Accepted,,Indigenous; Endemic
Orchidaceae,Stenoglottis,molweniensis,G.McDonald ex J.M.H.Shaw,,,,,,,Synonym,Stenoglottis longifolia Hook.f.,Indigenous; Endemic
Polypodiaceae,Microsorum,sp.,,,,,,,,Genus level,,
Fabaceae,Otholobium,prodiens,C.H.Stirt. & Muasya,,,,,,,Accepted,,Indigenous; Endemic
Oxalidaceae,Oxalis,corniculata,L.,,,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Poaceae,Agrostis,gigantea,Roth,,,,,,,Accepted,,Not indigenous; Naturalised
Rhamnaceae,Phylica,barnardii,Pillans,,,,,,,Accepted,,Indigenous; Endemic
Poaceae,Digitaria,longiflora,(Retz.) Pers.,,,,,,,Accepted,,Indigenous
Poaceae,Karroochloa,purpurea,(L.f.) Conert & Turpe,,,,,,,Synonym,Tribolium purpureum (L.f.) Verboom & H.P.Linder,Indigenous
Hypoxidaceae,Rhodohypoxis,milloides,(Baker) Hilliard & B.L.Burtt,,,,,,,Accepted,,Indigenous
Proteaceae,Leucadendron,elatum,H.Buek ex Meisn.,,,,,,,Synonym,Leucadendron pubescens R.Br.,Indigenous
Asphodelaceae,Aloe,lutescens,Groenew.,,,,,,,Accepted,,Indigenous
Iridaceae,Tritonia,delpierrei,M.P.de Vos,,,,,,,Synonym,Tritonia marlothii M.P.de Vos subsp. delpierrei (M.P.de Vos) M.P.de Vos,Indigenous; Endemic
Scrophulariaceae,Trieenea,elsiae,Hilliard,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Cheiridopsis,albirosea,L.Bolus,,,,,,,Synonym,Ihlenfeldtia excavata (L.Bolus) H.E.K.Hartmann,Indigenous
Aizoaceae,Pleiospilos,compactus,(Aiton) Schwantes,subsp.,sororius,(N.E.Br.) H.E.K.Hartmann & Liede,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,chrisocruxum,S.A.Hammer,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Chortolirion,tenuifolium,(Engl.) A.Berger,,,,,,,Synonym,Aloe bergeriana (Dinter) Boatwr. & J.C.Manning,Indigenous
Malvaceae,Hermannia,trifoliata,L.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Ursinia,tenuifolia,(L.) Poir.,,,,,,,Inclusive,,Indigenous; Endemic
Lindsaeaceae,Lindsaea,sp.,,,,,,,,Genus level,,
Scrophulariaceae,Pseudoselago,diplotricha,Hilliard,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Ruschia,persistens,L.Bolus,,,,,,,Synonym,Ruschia intricata (N.E.Br.) H.E.K.Hartmann & Stuber,Present
Asphodelaceae,Haworthia,rubriflora,(L.Bolus) Parr,,,,,,,Synonym,Astroloba rubriflora (L.Bolus) Gideon F.Sm. & J.C.Manning,Indigenous
Ericaceae,Erica,trichophora,Benth.,,,,,,,Accepted,,Indigenous; Endemic
Sapindaceae,Pappea,capensis,Eckl. & Zeyh.,var.,radkloferi,(Schweinf. ex Radlk.) Schinz,,,,Synonym,Pappea capensis Eckl. & Zeyh.,
Gesneriaceae,Streptocarpus,cyaneus,S.Moore,subsp.,cyaneus,,,,,Accepted,,Indigenous
Apocynaceae,Ceropegia,arnotii,(Baker) Bruyns,,,,,,,Accepted,,Indigenous
Rosaceae,Rubus,sp.,,,,,,,,Genus level,,
Apocynaceae,Huernia,hystrix,(Hook.f.) N.E.Br.,subsp.,hystrix,,,,,Accepted,,Indigenous
Cucurbitaceae,Momordica,foetida,Schumach.,,,,,,,Accepted,,Indigenous
Aizoaceae,Ruschia,karroidea,L.Bolus,,,,,,,Synonym,Antimima karroidea (L.Bolus) H.E.K.Hartmann,Present
Asteraceae,Helichrysum,marifolium,DC.,,,,,,,Accepted,,Indigenous; Endemic
Malpighiaceae,Sphedamnocarpus,sp.,,,,,,,,Genus level,,
Apocynaceae,Secamone,zambeziaca,Schltr.,var.,parvifolia,N.E.Br.,,,,Synonym,Secamone parvifolia (Oliv.) Bullock,Present
Verbenaceae,Priva,flabelliformis,(Moldenke) R.Fern.,,,,,,,Accepted,,Indigenous
Ranunculaceae,Knowltonia,anemonoides,H.Rasm.,subsp.,tenuis,H.Rasm.,,,,Synonym,Anemone anemonoides (H.Rasm.) J.C.Manning & Goldblatt subsp. tenuis (H.Rasm.) J.C.Manning & Goldblat,Indigenous; Endemic
Euphorbiaceae,Euphorbia,scopoliana,Steud.,,,,,,,Synonym,Euphorbia mammillaris L.,Indigenous
Hypoxidaceae,Hypoxis,elliptica,Nel,,,,,,,Synonym,Hypoxis rigidula Baker var. rigidula,Indigenous
Asteraceae,Cuspidia,cernua,(L.f.) B.L.Burtt,subsp.,cernua,,,,,Accepted,,Indigenous; Endemic
