NameId	NameFull	NameFormatted	NamePart	NameScientific	IsCurrent	CurrentNameId	CurrentName	CurrentNamePart	YearOf	TaxonRank	Occurrence	Origin	Phyla	Class	Order	Family	Genus
91DDF96A-0E0C-4729-9DB8-800ABBF98FC7	Ctenopteris grammitidis (R.Br.) J.Sm.	<i>Ctenopteris grammitidis</i> (R.Br.) J.Sm.	Ctenopteris grammitidis	<i>Ctenopteris grammitidis</i> (R.Br.) J.Sm., <i>Hist. Fil.</i> 185 (1875)	false	05542040-015E-4855-B012-13E6683FB092	Notogrammitis heterophylla (Labill.) Parris	Notogrammitis heterophylla	1875	species			Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Notogrammitis
CA089BAE-6475-40CE-BAAA-CB5D162D21E3	Ctenopteris heterophylla (Labill.) Tindale	<i>Ctenopteris heterophylla</i> (Labill.) Tindale	Ctenopteris heterophylla	<i>Ctenopteris heterophylla</i> (Labill.) Tindale, <i>Amer. Fern J.</i> 41: 100 (1951)	false	05542040-015E-4855-B012-13E6683FB092	Notogrammitis heterophylla (Labill.) Parris	Notogrammitis heterophylla	1951	species			Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Notogrammitis
D4170050-B5D5-47D5-B127-9A5035442B72	Cyathea Sm.	<i>Cyathea</i> Sm.	Cyathea	<i>Cyathea</i> Sm., <i>M?m. Acad. Roy. Sci. (Turin)</i> 5: 416 (1793)	true	D4170050-B5D5-47D5-B127-9A5035442B72	Cyathea Sm.	Cyathea	1793	genus	Wild	Non-endemic	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
65DCA66B-7201-4666-AC33-97998ECFECC0	Cyathea colensoi (Hook.f.) Domin	<i>Cyathea colensoi</i> (Hook.f.) Domin	Cyathea colensoi	<i>Cyathea colensoi</i> (Hook.f.) Domin, <i>Pteridophyta</i> 262 (1929)	true	65DCA66B-7201-4666-AC33-97998ECFECC0	Cyathea colensoi (Hook.f.) Domin	Cyathea colensoi	1929	species	Wild	Endemic	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
AEA17B68-0F36-4D18-A243-DFE04718E932	Cyathea cooperi (Hook. ex F.Muell.) Domin	<i>Cyathea cooperi</i> (Hook. ex F.Muell.) Domin	Cyathea cooperi	<i>Cyathea cooperi</i> (Hook. ex F.Muell.) Domin, <i>Pteridophyta</i> 262 (1929)	true	AEA17B68-0F36-4D18-A243-DFE04718E932	Cyathea cooperi (Hook. ex F.Muell.) Domin	Cyathea cooperi	1929	species	Wild	Exotic	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
54341BA3-C4F2-4D8A-A267-FF683D3A9DD1	Cyathea cunninghamii Hook.f.	<i>Cyathea cunninghamii</i> Hook.f.	Cyathea cunninghamii	<i>Cyathea cunninghamii</i> Hook.f. in Hooker, <i>Icon. Pl. 10,</i> t. 985 (1854)	true	54341BA3-C4F2-4D8A-A267-FF683D3A9DD1	Cyathea cunninghamii Hook.f.	Cyathea cunninghamii	1854	species	Wild	Non-endemic	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
E46C7C6C-6A08-4832-A4FA-0E46713B1D42	Cyathea dealbata (G.Forst.) Sw.	<i>Cyathea dealbata</i> (G.Forst.) Sw.	Cyathea dealbata	<i>Cyathea dealbata</i> (G.Forst.) Sw., <i>J. Bot. (Schrader)</i> 1800(2): 94 (1801)	true	E46C7C6C-6A08-4832-A4FA-0E46713B1D42	Cyathea dealbata (G.Forst.) Sw.	Cyathea dealbata	1801	species	Wild	Endemic	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
1DC33060-A797-40CF-A892-860FB48E0D20	Cyathea dealbata var. tricolor (Colenso) Domin	<i>Cyathea dealbata</i> var. <i>tricolor</i> (Colenso) Domin	Cyathea dealbata var. tricolor	<i>Cyathea dealbata</i> var. <i>tricolor</i> (Colenso) Domin, <i>Biblioth. Bot.</i> 20(85): 27 (1913)	false	E46C7C6C-6A08-4832-A4FA-0E46713B1D42	Cyathea dealbata (G.Forst.) Sw.	Cyathea dealbata	1913	var.			Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
06EBD28B-0459-4827-AE39-0006BDEE17F0	Cyathea falciloba (Colenso) Domin	<i>Cyathea falciloba</i> (Colenso) Domin	Cyathea falciloba	<i>Cyathea falciloba</i> (Colenso) Domin, <i>Pteridophyta</i> 264 (1929)	false	E46C7C6C-6A08-4832-A4FA-0E46713B1D42	Cyathea dealbata (G.Forst.) Sw.	Cyathea dealbata	1929	species			Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
C114A323-8749-4D2D-B76C-4BB3B736B557	Cyathea kermadecensis W.R.B.Oliv.	<i>Cyathea kermadecensis</i> W.R.B.Oliv.	Cyathea kermadecensis	<i>Cyathea kermadecensis</i> W.R.B.Oliv., <i>Trans. & Proc. New Zealand Inst.</i> 42: 158 (1910)	true	C114A323-8749-4D2D-B76C-4BB3B736B557	Cyathea kermadecensis W.R.B.Oliv.	Cyathea kermadecensis	1910	species	Wild	Endemic	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
ED1E8156-2513-4F9A-BC87-A863C93A57E8	Cyathea medullaris (G.Forst.) Sw.	<i>Cyathea medullaris</i> (G.Forst.) Sw.	Cyathea medullaris	<i>Cyathea medullaris</i> (G.Forst.) Sw., <i>J. Bot. (Schrader)</i> 1800(2): 94 (1801)	true	ED1E8156-2513-4F9A-BC87-A863C93A57E8	Cyathea medullaris (G.Forst.) Sw.	Cyathea medullaris	1801	species	Wild	Non-endemic	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
2AC89884-9300-461E-8179-D207B9E30818	Cyathea medullaris var. integra Hook.	<i>Cyathea medullaris</i> var. <i>integra</i> Hook.	Cyathea medullaris var. integra	<i>Cyathea medullaris</i> var. <i>integra</i> Hook., <i>Sp. Fil. 1,</i> 27 (1844)	false	ED1E8156-2513-4F9A-BC87-A863C93A57E8	Cyathea medullaris (G.Forst.) Sw.	Cyathea medullaris	1844	var.			Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
00CD117B-F713-4A51-B44C-A32CC277F72D	Cyathea medullaris var. polyneuron (Colenso) C.Chr.	<i>Cyathea medullaris</i> var. <i>polyneuron</i> (Colenso) C.Chr.	Cyathea medullaris var. polyneuron	<i>Cyathea medullaris</i> var. <i>polyneuron</i> (Colenso) C.Chr., <i>Index Filic.</i> 194 (1905)	false	ED1E8156-2513-4F9A-BC87-A863C93A57E8	Cyathea medullaris (G.Forst.) Sw.	Cyathea medullaris	1905	var.			Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
64B067BF-B530-4369-A060-9B32790E0301	Cyathea milnei Hook. ex Hook.f.	<i>Cyathea milnei</i> Hook. ex Hook.f.	Cyathea milnei	<i>Cyathea milnei</i> Hook. ex Hook.f., <i>Handb. New Zealand Fl.</i> 349 (1864)	true	64B067BF-B530-4369-A060-9B32790E0301	Cyathea milnei Hook. ex Hook.f.	Cyathea milnei	1864	species	Wild	Endemic	Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
9C18229C-33EC-4C5B-966D-C6F17C7B05FC	Cyathea novae-zelandiae Domin	<i>Cyathea novae-zelandiae</i> Domin	Cyathea novae-zelandiae	<i>Cyathea novae-zelandiae</i> Domin, <i>Pteridophyta</i> 264 (1929)	false	FDD4F588-4802-40B8-8525-0B2C5BB91D89	Cyathea smithii Hook.f.	Cyathea smithii	1929	species			Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
A790F453-EEA1-4D02-92F0-AAE3EACF7EF0	Cyathea polyneuron Colenso	<i>Cyathea polyneuron</i> Colenso	Cyathea polyneuron	<i>Cyathea polyneuron</i> Colenso, <i>Trans. & Proc. New Zealand Inst.</i> 11: 429 (1879)	false	ED1E8156-2513-4F9A-BC87-A863C93A57E8	Cyathea medullaris (G.Forst.) Sw.	Cyathea medullaris	1879	species			Tracheophyta	Polypodiopsida	Cyatheales	Cyatheaceae	Cyathea
